PF_ID,TYPE,XIRR,CURRENT_VALUE,TOTAL_TAX_PAID,EXIT_TAX
MFU3a945a415ed447a080596b0f9385e5b8,C1 - sip - 24M,0.162878,17112899.36,441967.54,193545.52
MFU3de1f779ad8942e2a69b43f7e8f55d23,C1 - sip - 24M,-0.006259,3152501.39,0,2013.63
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,C1 - sip - 24M,0.141357,39619983.11,616304.82,353579.25
MFU0800632740ab44deaccf232a286248c1,C2 - lumpsum - 24M,0.133212,7411772.83,312554.77,23188.97
MFU122ee06215ae47028524b57d8bccf34f,C2 - lumpsum - 24M,0.132316,19718910.96,754036.92,26190.16
MFU3a945a415ed447a080596b0f9385e5b8,C2 - lumpsum - 24M,0.129675,15885523.78,431356,50209.51
MFU3de1f779ad8942e2a69b43f7e8f55d23,C2 - lumpsum - 24M,-0.105859,3048005.9,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,C2 - lumpsum - 24M,0.102949,37128513.64,601608.36,91212.9
MFU0800632740ab44deaccf232a286248c1,C2 - sip - 24M,0.1479,7784304.11,293286.42,86774.35
MFU122ee06215ae47028524b57d8bccf34f,C2 - sip - 24M,0.149612,20780456.07,729764.51,165566.16
MFU3a945a415ed447a080596b0f9385e5b8,C2 - sip - 24M,0.159646,16990245.38,428022.66,191900.8
MFU3de1f779ad8942e2a69b43f7e8f55d23,C2 - sip - 24M,-0.002725,3156084.28,0,2105.95
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,C2 - sip - 24M,0.138871,39454119.1,597636.41,351367.89
MFU0800632740ab44deaccf232a286248c1,VA1 - lumpsum - 24M,0.170068,8380504.67,490698.53,2444.59
MFU122ee06215ae47028524b57d8bccf34f,VA1 - lumpsum - 24M,0.166875,21895477.13,1135355.88,1432.61
MFU3a945a415ed447a080596b0f9385e5b8,VA1 - lumpsum - 24M,0.145495,16461316.7,607042.94,6580.67
MFU3de1f779ad8942e2a69b43f7e8f55d23,VA1 - lumpsum - 24M,-0.164021,2983540.64,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,VA1 - lumpsum - 24M,0.112151,37711854.88,852803.23,11830.8
MFU0800632740ab44deaccf232a286248c1,VA1 - sip - 24M,0.177983,8603686.59,479754.96,4070.69
MFU122ee06215ae47028524b57d8bccf34f,VA1 - sip - 24M,0.17607,22512885.22,1113273.67,4461.09
MFU3a945a415ed447a080596b0f9385e5b8,VA1 - sip - 24M,0.161168,17047907.71,592850.4,12331.86
MFU3de1f779ad8942e2a69b43f7e8f55d23,VA1 - sip - 24M,-0.113909,3039244.73,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,VA1 - sip - 24M,0.130891,38926155.91,900027.8,22058.44
MFU0800632740ab44deaccf232a286248c1,VA2 - lumpsum - 24M,0.176751,8568563.41,491419.16,3314.73
MFU122ee06215ae47028524b57d8bccf34f,VA2 - lumpsum - 24M,0.175462,22471528.56,1140971.6,2593.35
MFU3a945a415ed447a080596b0f9385e5b8,VA2 - lumpsum - 24M,0.161892,17075393.14,637482.98,9840.33
MFU3de1f779ad8942e2a69b43f7e8f55d23,VA2 - lumpsum - 24M,-0.149126,3000313.79,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,VA2 - lumpsum - 24M,0.128603,38775920.18,944470.63,18052.21
MFU0800632740ab44deaccf232a286248c1,VA2 - sip - 24M,0.184521,8792246.94,480241.17,25871.72
MFU122ee06215ae47028524b57d8bccf34f,VA2 - sip - 24M,0.1845,23093655.42,1117826.54,54768.79
MFU3a945a415ed447a080596b0f9385e5b8,VA2 - sip - 24M,0.177469,17675461.88,636248.74,56287.19
MFU3de1f779ad8942e2a69b43f7e8f55d23,VA2 - sip - 24M,-0.099187,3055228.82,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,VA2 - sip - 24M,0.14713,40007553.18,890551.08,100672.39
MFU0800632740ab44deaccf232a286248c1,VC1 - lumpsum - 24M,0.127747,7277591.07,285865.54,32456.02
MFU122ee06215ae47028524b57d8bccf34f,VC1 - lumpsum - 24M,0.126772,19390014.42,697880.84,41223.16
MFU3a945a415ed447a080596b0f9385e5b8,VC1 - lumpsum - 24M,0.125177,15724748.03,383461.45,70320.24
MFU3de1f779ad8942e2a69b43f7e8f55d23,VC1 - lumpsum - 24M,-0.082835,3072791.14,0,0
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,VC1 - lumpsum - 24M,0.10185,37059430.2,585373.01,127695.99
MFU0800632740ab44deaccf232a286248c1,VC1 - sip - 24M,0.142301,7640234.6,267199.98,94551.73
MFU122ee06215ae47028524b57d8bccf34f,VC1 - sip - 24M,0.143928,20425553.52,675896.91,162599.13
MFU3a945a415ed447a080596b0f9385e5b8,VC1 - sip - 24M,0.154872,16810316.68,385746.82,209938.54
MFU3de1f779ad8942e2a69b43f7e8f55d23,VC1 - sip - 24M,0.021388,3180322.76,0,3970.48
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,VC1 - sip - 24M,0.137537,39365369.75,551303.58,390455.44
MFU0800632740ab44deaccf232a286248c1,pf,0.114967,6972872.14,1768.87,285667.65
MFU122ee06215ae47028524b57d8bccf34f,pf,0.138814,20111317.38,557710.13,320152.63
MFU3a945a415ed447a080596b0f9385e5b8,pf,0.12043,15556516.84,34446.89,444062.73
MFU3de1f779ad8942e2a69b43f7e8f55d23,pf,-0.072833,3083435.71,0,4682.2
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,pf,0.079687,35691130.96,3724.93,630325.19
MFUbcb2304143e94a7f82d238ea5d11bce9,A1 - lumpsum - 24M,0.170387,5143946.3,365361.64,476.97
MFUbcb2304143e94a7f82d238ea5d11bce9,A1 - sip - 24M,0.174243,5226287.53,357804.62,750.34
MFUbcb2304143e94a7f82d238ea5d11bce9,A2 - lumpsum - 24M,0.175802,5259898.11,364731.72,759.29
MFUbcb2304143e94a7f82d238ea5d11bce9,A2 - sip - 24M,0.17954,5341205.65,357373.67,4485.59
MFUbcb2304143e94a7f82d238ea5d11bce9,B1 - lumpsum - 24M,0.162147,4971667.78,338842.69,433.6
MFUbcb2304143e94a7f82d238ea5d11bce9,B1 - sip - 24M,0.165919,5049919.75,331536.21,703.61
MFUbcb2304143e94a7f82d238ea5d11bce9,B2 - lumpsum - 24M,0.167489,5082790.43,338393.74,708.01
MFUbcb2304143e94a7f82d238ea5d11bce9,B2 - sip - 24M,0.171141,5159969.81,331087.05,8480.27
MFUbcb2304143e94a7f82d238ea5d11bce9,C1 - lumpsum - 24M,0.143305,4595880.68,268557.54,1631.76
MFUbcb2304143e94a7f82d238ea5d11bce9,C1 - sip - 24M,0.150048,4727511.73,255018.15,31561.9
MFUbcb2304143e94a7f82d238ea5d11bce9,C2 - lumpsum - 24M,0.138437,4502792.23,256169.65,2168.5
MFUbcb2304143e94a7f82d238ea5d11bce9,C2 - sip - 24M,0.145071,4630047.46,243044.71,31317.27
MFUbcb2304143e94a7f82d238ea5d11bce9,VA1 - lumpsum - 24M,0.179566,5341759.83,397824.16,484.97
MFUbcb2304143e94a7f82d238ea5d11bce9,VA1 - sip - 24M,0.183532,5429183.74,390171.84,750.34
MFUbcb2304143e94a7f82d238ea5d11bce9,VA2 - lumpsum - 24M,0.185022,5462354.7,397320.13,761.02
MFUbcb2304143e94a7f82d238ea5d11bce9,VA2 - sip - 24M,0.18887,5548758.24,389479.16,1087.62
MFUbcb2304143e94a7f82d238ea5d11bce9,VC1 - lumpsum - 24M,0.131867,4379693.07,234501.01,8167.56
MFUbcb2304143e94a7f82d238ea5d11bce9,VC1 - sip - 24M,0.138296,4500125.86,221542.03,36220.61
MFUbcb2304143e94a7f82d238ea5d11bce9,pf,0.18305,5418498.39,89109.11,288448.49
MFU54f3b50705154de99af2bd733f79d909,A1 - lumpsum - 24M,0.097114,29908292.48,680016.99,1002.67
MFUf5625b488dff44ca91d0d9650e2c1891,A1 - lumpsum - 24M,0.017633,5134520.11,65560.44,0
MFUf67db7ad85da45e0b254459f1ab25d03,A1 - lumpsum - 24M,0.063542,3635843.34,54037.83,1365.38
MFU54f3b50705154de99af2bd733f79d909,A1 - sip - 24M,0.109142,30379732.61,673524.17,1322.81
MFUf5625b488dff44ca91d0d9650e2c1891,A1 - sip - 24M,0.036694,5237447.42,67048.6,0
MFUf67db7ad85da45e0b254459f1ab25d03,A1 - sip - 24M,0.079657,3709399.93,53388.03,1800.57
MFU54f3b50705154de99af2bd733f79d909,A2 - lumpsum - 24M,0.110375,30428839.17,695554.57,1338.89
MFUf5625b488dff44ca91d0d9650e2c1891,A2 - lumpsum - 24M,0.036559,5236709.48,68602.18,0
